epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.42384992813070616,1.204358009621501,0.575,0.5087121212121212,0.575,0.4946778711484594
2,0.16790782200793425,0.9029521271586418,0.6416666666666667,0.7027691511387164,0.6416666666666666,0.6077453248505881
3,0.1300577656676372,0.6418435425730422,0.75,0.811139932980742,0.75,0.7166923281097677
4,0.12237001326866448,1.0173211209475994,0.6333333333333333,0.7768685431161713,0.6333333333333333,0.6100681129955134
5,0.0712016582954675,0.856695007532835,0.7833333333333333,0.8336734693877551,0.7833333333333333,0.7835443037974683
6,0.02472574849477193,0.290377312223427,0.9166666666666666,0.9219463771171551,0.9166666666666667,0.9175166953031251
7,0.017637718392749472,0.5983008158614211,0.85,0.8808243727598566,0.8500000000000001,0.8508723995781804
8,0.0380373309434314,0.8624687567935325,0.725,0.8232954545454545,0.725,0.7025087227873605
9,0.041562218808879454,0.34336630440816407,0.9166666666666666,0.9212341264049044,0.9166666666666667,0.9168875654943833
10,0.08128781856503338,0.4168405176606029,0.8916666666666667,0.8934831029185868,0.8916666666666667,0.8886916079962999
11,0.0626858107629232,0.38767594262753846,0.8916666666666667,0.8952861952861954,0.8916666666666667,0.8923558897243108
12,0.058829753322061154,0.2923162330116611,0.9416666666666667,0.944304435483871,0.9416666666666667,0.9420245484149294
13,0.03768541631482852,0.9004052099771798,0.7666666666666667,0.8508254716981132,0.7666666666666666,0.7642819339372996
14,0.015633867012608486,0.402901448920602,0.9416666666666667,0.9485221674876848,0.9416666666666667,0.9425079158130006
15,0.039128383820934684,0.18116965642548166,0.9583333333333334,0.9607683982683983,0.9583333333333334,0.958680062712792
16,0.02670303913752529,0.2666003392710081,0.9416666666666667,0.9428879310344828,0.9416666666666667,0.9419081465281575
17,0.011091329510478923,0.33269097530791214,0.925,0.9327586206896552,0.925,0.9263410318495064
18,0.020276874332679048,0.3439895175397396,0.925,0.933531746031746,0.925,0.9259777578743096
19,0.014979919630786754,0.7755071576684713,0.8916666666666667,0.9107245484400657,0.8916666666666666,0.8905094241086265
20,0.06514177423426494,0.26122886450694693,0.95,0.9536199095022625,0.9500000000000001,0.9497767857142857
21,0.02800761928568439,0.38324285306589445,0.9083333333333333,0.9114583333333334,0.9083333333333333,0.9082181259600615
22,0.026859324762093215,0.7659710757257585,0.8333333333333334,0.8589610022122756,0.8333333333333334,0.8303437495216666
23,0.02378553282954575,0.6825426394740592,0.875,0.9053776683087028,0.875,0.874079999231331
24,0.017606201862266364,0.4335209454099287,0.925,0.9258184523809524,0.925,0.924925843529848
25,0.018508559394346473,0.3525276111186031,0.95,0.9508928571428572,0.95,0.949944382647386
